HolidayWeekend
1/2/2000
2/13/2000
5/14/2000
5/28/2000
6/18/2000
7/2/2000
9/3/2000
10/29/2000
11/12/2000
11/26/2000
12/24/2000
12/31/2000
5/13/2001
5/27/2001
6/17/2001
9/2/2001
10/28/2001
11/11/2001
11/25/2001
12/23/2001
12/30/2001
5/12/2002
5/26/2002
6/16/2002
9/1/2002
10/27/2002
11/10/2002
11/24/2002
12/22/2002
2/16/2003
5/11/2003
5/25/2003
6/15/2003
7/6/2003
8/31/2003
11/2/2003
11/9/2003
11/30/2003
12/21/2003
1/4/2004
2/15/2004
5/9/2004
5/30/2004
6/20/2004
7/4/2004
9/5/2004
10/31/2004
11/14/2004
11/28/2004
12/26/2004
1/2/2005
2/13/2005
5/8/2005
5/29/2005
6/19/2005
7/3/2005
9/4/2005
10/30/2005
11/13/2005
11/27/2005
12/25/2005
1/1/2006
5/14/2006
5/28/2006
6/18/2006
7/2/2006
9/3/2006
10/29/2006
11/12/2006
11/26/2006
12/24/2006
12/31/2006
5/13/2007
5/27/2007
6/17/2007
9/2/2007
10/28/2007
11/11/2007
11/25/2007
12/23/2007
12/30/2007
11-May
5/25/2008
6/15/2008
7/6/2008
8/31/2008
11/2/2008
11/9/2008
11/30/2008
12/21/2008
1/4/2009
2/15/2009
5/10/2009
5/24/2009
6/21/2009
7/5/2009
9/6/2009
11/1/2009
11/29/2009
12/27/2009
1/3/2010
2/14/2010
5/9/2010
5/30/2010
6/20/2010
7/4/2010
9/5/2010
10/31/2010
11/14/2010
11/28/2010
12/26/2010
1/2/2011
2/13/2011
5/8/2011
5/29/2011
6/19/2011
7/3/2011
9/4/2011
10/30/2011
11/13/2011
11/27/2011
12/25/2011
1/1/2012
5/13/2012
5/27/2012
6/17/2012
9/2/2012
10/28/2012
11/11/2012
11/25/2012
12/23/2012
12/30/2012
5/12/2013
5/26/2013
6/16/2013
7/7/2013
9/1/2013
10/27/2013
11/10/2013
11/24/2013
12/22/2013
2/16/2014
5/11/2014
5/25/2014
6/15/2014
7/6/2014
8/31/2014
11/2/2014
11/9/2014
11/30/2014
12/21/2014
1/4/2015
2/15/2015
5/10/2015
5/24/2015
6/21/2015
7/5/2015
9/6/2015
11/1/2015
11/29/2015
12/27/2015
1/3/2016
2/14/2016
5/8/2016
5/29/2016
6/9/2016
7/3/2016
9/4/2016
10/30/2016
11/13/2016
11/27/2016
12/25/2016
1/1/2017
5/14/2017
5/28/2017
6/18/2017
7/2/2017
9/3/2017
10/29/2017
11/12/2017
11/26/2017
12/24/2017
12/31/2017
5/13/2018
5/27/2018
6/17/2018
9/2/2018
10/28/2018
11/11/2018
11/25/2018
12/23/2018
12/30/2018
5/12/2019
5/26/2019
6/16/2019
7/7/2019
9/1/2019
10/27/2019
11/10/2019
12/1/2019
12/22/2019
2/16/2020
5/10/2020
5/24/2020
6/21/2020
7/5/2020
8/30/2020
11/1/2020
11/29/2020
12/27/2020
