Film,Date,Year,Weekend,Gross
The Premature Burial,3/4/1962,1962,9,835935
State Fair,3/11/1962,1962,10,935294
State Fair,3/18/1962,1962,11,835904
State Fair,3/25/1962,1962,12,724384
Sweet Bird of Youth,4/1/1962,1962,13,792834
Sweet Bird of Youth,4/8/1962,1962,14,624384
Experiment in Terror,4/15/1962,1962,15,1284294
Follow That Dream,4/22/1962,1962,16,1173459
The Man Who Shot Liberty Valance,4/29/1962,1962,17,1792583
The Man Who Shot Liberty Valance,5/6/1962,1962,18,1584284
The Man Who Shot Liberty Valance,5/13/1962,1962,19,1482482
Bon Voyage!,5/20/1962,1962,20,1724284
Lonely Are the Brave,5/27/1962,1962,21,1000000
Lonely Are the Brave,6/3/1962,1962,22,924392
Lonely Are the Brave,6/10/1962,1962,23,824294
That Touch of Mink,6/17/1962,1962,24,1632493
Boys' Night Out,6/24/1962,1962,25,1293632
Hell Is for Heroes,7/1/1962,1962,26,1284204
Birdman of Alcatraz,7/8/1962,1962,27,1472457
The Music Man,7/15/1962,1962,28,1329482
The Music Man,7/22/1962,1962,29,1284320
The Music Man,7/29/1962,1962,30,935375
The Music Man,8/5/1962,1962,31,923459
Kid Galahad,8/12/1962,1962,32,1734893
Kid Galahad,8/19/1962,1962,33,1000000
Kid Galahad,8/26/1962,1962,34,935395
The Music Man,9/2/1962,1962,35,964532
The Music Man,9/9/1962,1962,36,864366
The Music Man,9/16/1962,1962,37,832593
The Music Man,9/23/1962,1962,38,732592
Carnival of Souls,9/30/1962,1962,39,1472264
The Longest Day,10/7/1962,1962,40,1835375
The Longest Day,10/14/1962,1962,41,1724478
The Longest Day,10/21/1962,1962,42,1524694
The Longest Day,10/28/1962,1962,43,1332534
What Ever Happened to Baby Jane?,11/4/1962,1962,44,1735432
Mutiny on the Bounty,11/11/1962,1962,45,1835384
What Ever Happened to Baby Jane?,11/18/1962,1962,46,1392492
Girls! Girls! Girls!,11/25/1962,1962,47,1592693
Girls! Girls! Girls!,12/2/1962,1962,48,1390294
Lawrence of Arabia,12/16/1962,1962,50,1984385
In Search of the Castaways,12/23/1962,1962,51,1391492
Lawrence of Arabia,12/30/1962,1962,52,1382582
Lawrence of Arabia,1/6/1963,1963,1,2573392
Lawrence of Arabia,1/13/1963,1963,2,2385298
Lawrence of Arabia,1/20/1963,1963,3,2185395
Lawrence of Arabia,1/27/1963,1963,4,1937583
Lawrence of Arabia,2/3/1963,1963,5,1836384
Lawrence of Arabia,2/10/1963,1963,6,1273256
A Child Is Waiting,2/17/1963,1963,7,2261732
How the West Was Won,2/24/1963,1963,8,2757635
How the West Was Won,3/3/1963,1963,9,2385924
How the West Was Won,3/10/1963,1963,10,2185372
How the West Was Won,3/17/1963,1963,11,1683845
How the West Was Won,3/24/1963,1963,12,1539932
The Birds,3/31/1963,1963,13,2900043
It Happened at the World's Fair,4/7/1963,1963,14,2472533
Bye Bye Birdie,4/14/1963,1963,15,2385822
Bye Bye Birdie,4/21/1963,1963,16,2175483
Bye Bye Birdie,4/28/1963,1963,17,1382578
Bye Bye Birdie,5/5/1963,1963,18,945382
Dr. No,5/12/1963,1963,19,2673277
Dr. No,5/19/1963,1963,20,2374294
Dr. No,5/26/1963,1963,21,2187824
Hud,6/2/1963,1963,22,2562844
The Nutty Professor,6/9/1963,1963,23,2472573
Donovan's Reef,6/16/1963,1963,24,2583578
Cleopatra,6/23/1963,1963,25,2735387
Cleopatra,6/30/1963,1963,26,2572922
The Great Escape,7/7/1963,1963,27,2743673
Beach Party,7/14/1963,1963,28,1953593
Cleopatra,7/21/1963,1963,29,2583244
Cleopatra,7/28/1963,1963,30,2395422
Cleopatra,8/4/1963,1963,31,2175274
Gidget Goes to Rome,8/11/1963,1963,32,2382891
Promises! Promises!,8/18/1963,1963,33,2371522
Flipper,8/25/1963,1963,34,2175355
Promises! Promises!,9/1/1963,1963,35,1947372
Promises! Promises!,9/8/1963,1963,36,932683
Shock Corridor,9/15/1963,1963,37,935385
X,9/22/1963,1963,38,1736924
The V.I.P.s,9/29/1963,1963,39,2735385
Dementia 13,10/6/1963,1963,40,2382582
The V.I.P.s,10/13/1963,1963,41,2391381
Johnny Cool,10/20/1963,1963,42,1972577
The V.I.Ps,10/27/1963,1963,43,1824428
A New Kind of Love,11/3/1963,1963,44,1824385
"It's a Mad, Mad, Mad, Mad World",11/10/1963,1963,45,2826573
"It's a Mad, Mad, Mad, Mad World",11/17/1963,1963,46,2783482
The Incredible Journey,11/24/1963,1963,47,2673285
Fun in Acapulco,12/1/1963,1963,48,2427572
Charade,12/8/1963,1963,49,2382278
Girls! Girls! Girls!,12/9/1963,1962,49,1000000
Charade,12/15/1963,1963,50,2184293
Charade,12/22/1963,1963,51,1573284
The Sword in the Stone,12/29/1963,1963,52,2742466
The Sword in the Stone,1/5/1964,1964,1,2854875
The Sword in the Stone,1/12/1964,1964,2,2364822
The Sword in the Stone,1/19/1964,1964,3,2174283
The Sword in the Stone,1/26/1964,1964,4,1854985
Dr. Strangelove,2/2/1964,1964,5,2864385
Dr. Strangelove,2/9/1964,1964,6,2385924
Dr. Strangelove,2/16/1964,1964,7,2199743
Dead Ringer,2/23/1964,1964,8,2678863
Dead Ringer,3/1/1964,1964,9,2378294
Kissin' Cousins,3/8/1964,1964,10,2692843
Kissin' Cousins,3/15/1964,1964,11,2194833
The Pink Panther,3/22/1964,1964,12,2958385
The Pink Panther,3/29/1964,1964,13,2639833
The Pink Panther,4/5/1964,1964,14,2379982
The Carpetbaggers,4/12/1964,1964,15,2946834
The Carpetbaggers,4/19/1964,1964,16,2842684
The Carpetbaggers,4/26/1964,1964,17,2184689
The Carpetbaggers,5/3/1964,1964,18,1946432
The Carpetbaggers,5/10/1964,1964,19,1849453
Crack in the World,5/17/1964,1964,20,2273482
Viva Las Vegas,5/24/1964,1964,21,3000000
From Russia with Love,5/31/1964,1964,22,2947263
